population,method,seed,auc,auc_effect_vs_original_tie,ci95_lower,ci95_upper
empty_history,global_popularity,,0.495194380426649,-0.004805619573351,,
empty_history,time_decayed_popularity_72h,,0.4952048136242344,-0.0047951863757656,,
empty_history,original_tie,2027,0.5,0.0,0.0,0.0
empty_history,candidate_head,2027,0.5505838569476841,0.05058385694768503,0.03884983947595251,0.062274220831917186
empty_history,original_tie,2028,0.5,0.0,0.0,0.0
empty_history,candidate_head,2028,0.5548526198106993,0.0548526198106988,0.042836692956417434,0.06677987474722595
empty_history,original_tie,2029,0.5,0.0,0.0,0.0
empty_history,candidate_head,2029,0.5560888865887017,0.05608888658870109,0.04430452587894615,0.06812378818435391
full_dev,hybrid,2027,0.6529099344561051,0.0011533352820187839,0.0006270447593296456,0.0016933327597631648
full_dev,hybrid,2028,0.657952972662229,0.001282532583236968,0.000750223660320083,0.001810555139642158
full_dev,hybrid,2029,0.6585179575797778,0.0013199491220396951,0.0008148945363506673,0.0018359100503054764
